,Date,Tweet,Sentiment_Score
96,2016-06-14,'GOOGL Alphabet Inc. Dividend\rhttps://t.co/v00oa4IM27\r\r$GOOGL $SPXL $SSO $HYD  #invest #stocks',0.0
97,2016-06-14,'Does $NFLX still look expensive on valuation after seeing what $LNKD went for? How much of a good deal would it be for $GOOGL $AAPL or $DIS',3.0
98,2016-06-14,'RT @options_answers: $GOOGL chris20: Etek..0001..bids held strong all day..628 o/s..only 9 million https://t.co/lCmeulM8om',2.0
99,2016-06-14,'@Ericsson &amp; @Sprint Kick Off Next-Generation Sporting Experience: https://t.co/164nr93GLl $S $QQQ $MSFT $DISH $DIS $GOOGL $HPNN $FB $GE $GLW',0.0
100,2016-06-14,'$GOOGL chris20: Etek..0001..bids held strong all day..628 o/s..only 9 million https://t.co/lCmeulM8om',2.0
101,2016-06-14,'RT @ElixiumCapital: Trade the $FANG stocks with 15x leverage using #Bitcoin on #1Broker $FB $AMZN $NFLX $GOOGL https://t.co/WWssD01joh http\xc9',0.0
102,2016-06-14,'How To Get Out Of Losing Stock Positions https://t.co/cHfJD7cVrQ $BP $CIEN $FB $MSFT $MU $NUAN $VSLR $XOM $GOOG $GOOGL $HIMX',0.0
103,2016-06-14,'@autumnalcity87 great call on $GOOGL',3.0
104,2016-06-14,'Sapchat Is Overhyped https://t.co/pmx2VsMgFJ $SNAP $GOOG $GOOGL $FB $TWTR',0.0
105,2016-06-14,"'_: 616\xdb, 691$\r$EURUSD:1.12  $EURGBP:0.79\r$AAPL: 97.5$ (+0.12%)  $GOOGL: 733.2$ (+0.19%)\r$NASDAQ: 4843.55(-0.10%) S&amp;P500: 2075.32(-0.18%)'",0.0
106,2016-06-14,'RT @options_answers: $GOOGL vantillian: Very crappy day. Unreal. - vantillian https://t.co/8wVZuvmIl8',-3.0
107,2016-06-14,'TLT iShares 20+ Year Treasury Bond ETF Tick\rhttps://t.co/N344QT03F6\r\r$TLT $CEU.TO $GOOGL $FSLR  #stocks #invest',0.0
108,2016-06-14,'$GOOGL vantillian: Very crappy day. Unreal. - vantillian https://t.co/8wVZuvmIl8',-3.0
109,2016-06-14,"'Amazon And Fiat Deal Ahead?...\rhttps://t.co/036tUFgbDb $AMZN, $ABT, $AXLL, $BABA, $CRM, $ETE, $F, $FB, $FCAU, $FMER, $GOOG, $GOOGL, $HBAN'",0.0
110,2016-06-14,"""Apple's Underwhelming WWDC... \rhttps://t.co/bspzKGdBFD $AAPL, $AMZN, $GOOG, $IBM, $MSFT, $QCOM, $GOOGL""",0.0
111,2016-06-14,'RT @businessinsider: Advertisers prefer Instagram to Twitter for two main reasons $FB $GOOG $GOOGL $TWTR https://t.co/0PAI1GY7A8 https://t.\xc9',0.0
112,2016-06-14,'LABD Direxion Daily S&amp;P Biotech Bear 3x Shares Filings\rhttps://t.co/S3XxczczYV\r\r$LABD $GOOGL $GS $NEM  #invest #nasdaq',1.0
113,2016-06-14,"'Alphabet $GOOGL Stock Closed Up, Plans to Expand Google Fiber https://t.co/ksdhA7g7d0 #StockAction'",1.0
114,2016-06-14,"'$GOOGL:\r\rAlphabet (GOOGL) Stock Closed Up, Plans to Expand Google Fiber:\r\rhttps://t.co/McquG9urtY'",1.0
115,2016-06-14,"'Alphabet $GOOGL Stock Closed Up, Plans to Expand Google Fiber https://t.co/IzeeN612FA'",1.0
116,2016-06-14,"""@KrishnaKGupta better strategic fit into the $MSFT office suite. $LNKD doesn't seem like a good fit got $GOOGL, no readily apparent home""",8.0
117,2016-06-14,"""$TWTR up nearly 6% today. People love SoundCloud investment, huh? #sarcasm FWIW, I don't see $GOOGL buying Twitter. But been wrong before.""",1.0
118,2016-06-14,'$GOOGL &gt; $TWTR https://t.co/Y6LuQ1IX8r',0.0
119,2016-06-14,"'RT @marketexclusive: Apple Inc. (NASDAQ:AAPL) Plans To Enter The Energy Sector https://t.co/qq8CXFlQXK $AAPL, $GOOGL'",0.0
120,2016-06-14,'$GOOGL $FB $TWTR $V:\r\rHow Snapchat aims to become a huge player in ads:\r\rhttps://t.co/dDZ0C9d6iE',1.0
